cornername,start,end
Start-/Finishline,0,200
La Source,200,500
Eau Rouge,900,1150
Raidillon,1150,1500
Kemmel,1500,1700
Kemmel Straight,1700,2200
Les Combes,2200,2550
Malmedy,2550,2800
Bruxelles,2800,3150
Jacky Ickx Corner,3150,3500
Pouhon,3500,4300
Les Fagnes,4300,4800
Campus,4800,5000
Stavelot,5000,5300
Courbe Paul Frère,5300,6000
Blanchimont,6000,6500
Chicane,6500,6850
Start-/Finishline,6850,6930
