cornername,start,end
Start-/Finishline,0,400
Yokohama-S,400,950
PAGID Racing Kurve,950,1550
Müllenbachschleife,1550,2150
Michael-Schumacher-S,2150,2700
Ravenol Kurve,2700,2950
BILSTEIN Kurve,2950,3200
ADVAN Bogen,3200,3650
Veedol Schikane,3650,4150
T13,4150,4350
Sabine Schmitz Kurve,4350,4600
Hatzenbach Bogen,4600,4900
Hatzenbach,4900,5600
Hocheichen,5600,6100
Quiddelbacher Höhe,6100,6650
Flugplatz,6600,7500
Schwedenkreuz,7500,7940
Aremberg,7940,8300
Fuchsröhre,8300,9200
Adenauer Forst,9200,9800
Metzgesfeld,9800,10500
Kallenhard,10500,10850
Spiegelkurve,10850,11050
Miss-Hit-Miss,11050,11400
Wehrseifen,11400,11900
Breitscheid,11900,12250
Exmühle,12250,12600
Lauda Links,12600,12950
Bergwerk,12950,13400
Kesselchen,13400,14500
Klostertal,14500,14800
Mutkurve,14800,15500
Steilstrecke,15500,16000
Caracciola-Karussell,16000,16500
Hohe Acht,16500,17250
Hedwigshöhe,17250,17700
Wippermann,17700,18050
Eschbach,18050,18400
Brünnchen,18400,18750
Eiskurve,18750,19200
Pflanzgarten I,19200,19600
Pflanzgarten II,19600,20000
Stefan-Bellof-S,20000,20580
Schwalbenschwanz,20580,21300
Galgenkopf,21300,21900
Döttinger Höhe,21900,23700
Antoniusbuche,23700,24100
Tiergarten,24100,24350
Hohenrain,24350,24800
Start-/Finishline,24800,99999
